股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,1096000,24.85
3131,弘塑科技,87000,2.77
2059,川湖科技,38000,2.59
3661,世芯電子,63000,2.51
3653,健策精密工業,70000,2.45
2360,致茂電子,118000,2.43
6223,旺矽科技,40000,2.43
3081,聯亞光電工業,116000,2.41
2412,中華電信,1778000,2.33
4958,臻鼎科技控股,428000,2.29
2376,技嘉科技,750000,2.26
2383,台光電子材料,42000,2.18
2454,聯發科技,47000,1.94
2049,上銀科技,623000,1.92
2368,金像電子（股）公司,165000,1.9
2395,研華,423000,1.88
8046,南亞電路板,227000,1.88
3017,奇鋐科技,83000,1.83
3036,文曄科技,903000,1.81
7769,鴻勁精密,29000,1.8
1802,台灣玻璃工業,2801000,1.78
3293,鈊象電子,254000,1.76
2308,台達電子工業,85000,1.61
3711,日月光投資控股,263000,1.59
1216,統一企業,2161000,1.48
2345,智邦科技,66000,1.46
3008,大立光電,32000,1.46
6442,光紅建聖,81000,1.46
6669,緯穎科技服務,34000,1.45
3529,力旺電子,49000,1.42
3105,穩懋半導體,279000,1.33
2881,富邦金融控股,1027000,1.29
8996,高力熱處理工業,98000,1.29
2303,聯華電子,687000,1.06
8299,群聯電子,45000,1.0
2344,華邦電子,491000,0.95
6415,矽力杰,144000,0.85
6488,環球晶圓,90000,0.83
2891,中國信託金融控股,1217000,0.8
6147,頎邦科技,326000,0.77
4904,遠傳電信,713000,0.69
2408,南亞科技,143000,0.59
6187,萬潤科技,41000,0.44
3665,貿聯控股（BizLink Holding In,17000,0.31
6805,富世達,18000,0.29
3533,嘉澤端子工業,13000,0.26
2317,鴻海精密工業,78000,0.18
3037,欣興電子,6000,0.05
6239,力成科技,16000,0.05
3189,景碩科技,2000,0.01
