股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,1096000,23.28
3293,鈊象電子,462000,3.19
2049,上銀科技,938000,3.03
2395,研華,654000,2.94
1216,統一企業,4418000,2.84
2412,中華電信,2203000,2.72
2308,台達電子工業,119000,2.56
1477,聚陽實業,1218000,2.46
2376,技嘉科技,657000,2.3
2360,致茂電子,100000,2.23
2454,聯發科技,55000,2.19
3711,日月光投資控股,398000,2.15
6223,旺矽科技,40000,2.07
3653,健策精密工業,60000,2.05
6669,緯穎科技服務,41000,2.01
2368,金像電子（股）公司,165000,2.0
7769,鴻勁精密,29000,1.91
3105,穩懋半導體,421000,1.9
8046,南亞電路板,221000,1.75
3036,文曄科技,666000,1.71
3017,奇鋐科技,65000,1.63
8299,群聯電子,69000,1.62
6488,環球晶圓,190000,1.58
2881,富邦金融控股,1597000,1.58
3661,世芯電子,39000,1.57
2383,台光電子材料,37000,1.57
2059,川湖科技,33000,1.55
8996,高力熱處理工業,159000,1.53
2345,智邦科技,66000,1.49
6805,富世達,77000,1.41
2344,華邦電子,787000,1.22
6442,光紅建聖,64000,1.16
2891,中國信託金融控股,1846000,1.14
6415,矽力杰,215000,1.13
4958,臻鼎科技控股,238000,1.06
4904,遠傳電信,1122000,0.99
6789,采鈺科技,192000,0.91
6781,AES Holding Co Ltd,79000,0.84
2408,南亞科技,221000,0.78
3529,力旺電子,17000,0.53
3533,嘉澤端子工業,19000,0.43
8210,勤誠興業,32000,0.41
2317,鴻海精密工業,117000,0.32
2474,可成科技,139000,0.31
3665,貿聯控股（BizLink Holding In,4000,0.08
6239,力成科技,25000,0.08
3037,欣興電子,6000,0.05
2382,廣達電腦,14000,0.05
1519,華城電機,5000,0.04
3189,景碩科技,2000,0.01
