股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,1096000,24.02
8046,南亞電路板,350000,2.88
2376,技嘉科技,846000,2.69
2360,致茂電子,118000,2.51
3661,世芯電子,63000,2.48
4958,臻鼎科技控股,428000,2.44
3653,健策精密工業,70000,2.42
2308,台達電子工業,119000,2.42
2412,中華電信,1778000,2.38
6223,旺矽科技,40000,2.35
2059,川湖科技,38000,2.31
2395,研華,523000,2.29
2454,聯發科技,55000,2.29
3036,文曄科技,1047000,2.09
2368,金像電子（股）公司,165000,2.03
2383,台光電子材料,42000,1.96
7769,鴻勁精密,29000,1.95
2049,上銀科技,623000,1.85
3081,聯亞光電工業,89000,1.85
6669,緯穎科技服務,41000,1.83
3017,奇鋐科技,83000,1.8
3293,鈊象電子,254000,1.79
3529,力旺電子,54000,1.58
2345,智邦科技,66000,1.52
1802,台灣玻璃工業,2416000,1.5
1216,統一企業,2161000,1.49
3711,日月光投資控股,263000,1.42
6442,光紅建聖,81000,1.39
3105,穩懋半導體,279000,1.26
2881,富邦金融控股,1027000,1.24
6488,環球晶圓,129000,1.23
8996,高力熱處理工業,98000,1.23
3008,大立光電,24000,1.07
8299,群聯電子,45000,0.98
2303,聯華電子,687000,0.88
2344,華邦電子,491000,0.88
2891,中國信託金融控股,1217000,0.79
6415,矽力杰,144000,0.77
4904,遠傳電信,713000,0.73
6147,頎邦科技,326000,0.68
3131,弘塑科技,22000,0.67
2408,南亞科技,143000,0.55
6187,萬潤科技,41000,0.43
3665,貿聯控股（BizLink Holding In,17000,0.33
6805,富世達,18000,0.28
3533,嘉澤端子工業,13000,0.27
2317,鴻海精密工業,78000,0.19
3037,欣興電子,6000,0.05
6239,力成科技,16000,0.05
3189,景碩科技,2000,0.01
