股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,663000,8.15
2454,聯發科技,279000,5.68
2059,川湖科技,91000,4.78
2383,台光電子材料,152000,4.19
2308,台達電子工業,404000,3.53
3081,聯亞光電工業,237600,2.93
3037,欣興電子,563000,2.85
6223,旺矽科技,76000,2.49
2408,南亞科技,1039000,2.48
7769,鴻勁精密,73000,2.46
8299,群聯電子,218000,2.29
1303,南亞塑膠工業,2416000,2.24
2317,鴻海精密工業,1569000,2.16
3017,奇鋐科技,134000,2.05
2368,金像電子（股）公司,393000,2.01
6515,穎崴科技,55000,1.94
2345,智邦科技,147000,1.84
6669,緯穎科技服務,52000,1.69
3653,健策精密工業,69000,1.6
5274,信驊科技,18300,1.59
2382,廣達電腦,987000,1.55
2360,致茂電子,148000,1.52
6274,台燿科技,187000,1.49
3036,文曄科技,1147000,1.39
3443,創意電子,59000,1.37
2891,中國信託金融控股,3711000,1.25
2376,技嘉科技,694000,1.24
3711,日月光投資控股,400000,1.24
5904,寶雅國際,312450,1.17
8046,南亞電路板,203000,1.17
8996,高力熱處理工業,181000,1.07
3293,鈊象電子,252000,1.03
3231,緯創資通,1041000,1.03
2344,華邦電子,1153000,1.02
2327,國巨,345000,1.02
6213,聯茂電子,482000,0.94
3529,力旺電子,65000,0.9
8210,勤誠興業,139000,0.89
3008,大立光電,36000,0.87
2884,玉山金融控股,4362622,0.86
4958,臻鼎科技控股,335000,0.84
3189,景碩科技,185000,0.82
3044,健鼎科技,345000,0.71
3264,欣銓科技,650000,0.71
6831,邁科科技,182000,0.62
6805,富世達,54000,0.49
3026,禾伸堂企業,134000,0.41
3665,貿聯控股（BizLink Holding In,32336,0.4
6442,光紅建聖,38000,0.28
3533,嘉澤端子工業,13000,0.13
