股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,704000,9.37
2308,台達電子工業,475000,5.71
2454,聯發科技,188000,4.68
2059,川湖科技,110000,4.07
2383,台光電子材料,134000,3.89
7769,鴻勁精密,93000,3.81
3037,欣興電子,562000,3.1
6223,旺矽科技,84000,3.01
2368,金像電子（股）公司,393000,3.01
2345,智邦科技,194000,2.7
2360,致茂電子,204000,2.54
5274,信驊科技,22000,2.27
2408,南亞科技,885000,2.16
2344,華邦電子,1839000,2.04
3443,創意電子,70000,1.98
2317,鴻海精密工業,1286000,1.95
6515,穎崴科技,37000,1.95
3711,日月光投資控股,584000,1.94
6274,台燿科技,208000,1.94
8996,高力熱處理工業,221000,1.87
8299,群聯電子,134000,1.74
3017,奇鋐科技,131000,1.73
3081,聯亞光電工業,127000,1.59
6669,緯穎科技服務,52000,1.47
3036,文曄科技,1067000,1.33
8210,勤誠興業,175000,1.31
3653,健策精密工業,57000,1.27
3189,景碩科技,305000,1.2
2891,中國信託金融控股,2849000,1.13
3231,緯創資通,1228000,1.11
2382,廣達電腦,530000,1.11
5904,寶雅國際,312450,1.08
8046,南亞電路板,219000,1.08
3529,力旺電子,60000,1.06
6831,邁科科技,224000,0.93
6805,富世達,92000,0.88
3044,健鼎科技,276000,0.88
2376,技嘉科技,424000,0.82
2884,玉山金融控股,3867622,0.77
6442,光紅建聖,71000,0.73
3665,貿聯控股（BizLink Holding In,53336,0.62
3293,鈊象電子,124000,0.54
3264,欣銓科技,172000,0.2
3533,嘉澤端子工業,13000,0.17
