股票代號,股票名稱,股數,權重
2454,聯發科,517000,9.39
2330,台積電,770000,8.17
2383,台光電,332000,7.82
2308,台達電,571000,5.63
3037,欣興,1138000,5.19
2360,致茂,413000,4.41
6669,緯穎,140000,3.64
2059,川湖,137000,3.28
2345,智邦,260000,3.02
5274,信  驊,34000,2.84
3017,奇鋐,221000,2.65
2368,金像電,382000,2.39
3044,健鼎,1034000,2.39
3036,文曄,1497000,2.03
6223,旺矽,69000,1.96
2327,國巨,660000,1.95
4958,臻鼎-KY,792000,1.92
2408,南亞科,1218000,1.78
8210,勤  誠,250000,1.58
2357,華碩,481000,1.54
6285,啟  碁,1030000,1.43
2376,技嘉,919000,1.39
3081,聯  亞,105000,1.34
1590,亞德客-KY,193000,1.28
6147,頎邦,1234000,1.25
6488,環球晶,348000,1.17
3665,貿聯-KY,107000,1.12
2885,元大金,4012000,1.04
2382,廣達,664000,0.99
2891,中信金,3533000,0.96
1519,華  城,235000,0.91
6187,萬  潤,152000,0.82
3702,大聯大,1416000,0.79
1303,南亞,1840000,0.75
8069,元太,705000,0.74
2313,華通,544000,0.71
2404,漢唐,126000,0.68
3131,弘  塑,42000,0.56
6278,台表科,476000,0.55
4749,新應材,90000,0.5
3293,鈊  象,133000,0.47
5434,崇越,200000,0.42
2881,富邦金,817000,0.37
1717,長興,907000,0.35
3374,精  材,271000,0.32
6121,新  普,178000,0.32
6715,嘉  基,140000,0.3
2385,群光,338000,0.21
