股票代號,股票名稱,股數,權重
2330,台積電,748000,8.9
2383,台光電,253000,5.93
2308,台達電,483000,5.47
3017,奇鋐,326000,5.0
2360,致茂,369000,4.1
2454,聯發科,317000,4.02
2368,金像電,502000,3.63
3665,貿聯-KY,214000,3.37
3653,健策,111000,3.37
5274,信  驊,37000,3.32
3037,欣興,708000,2.95
2345,智邦,244000,2.9
2059,川湖,137000,2.81
3044,健鼎,1034000,2.74
2382,廣達,1291000,2.38
6223,旺矽,69000,1.89
6187,萬  潤,237000,1.7
1590,亞德客-KY,169000,1.33
2404,漢唐,226000,1.26
2449,京元電子,755000,1.2
2303,聯電,2825000,1.19
1519,華  城,235000,1.18
3036,文曄,997000,1.18
6488,環球晶,348000,1.14
3081,聯  亞,64000,1.11
6271,同欣電,1028000,1.04
2357,華碩,301000,1.03
2344,華邦電,1990000,1.0
2327,國巨,584000,0.99
2376,技嘉,597000,0.94
6805,富世達,84000,0.92
6669,緯穎,37000,0.9
1303,南亞,1840000,0.9
8210,勤  誠,138000,0.87
3211,順  達,362000,0.82
3131,弘  塑,42000,0.76
3443,創意,31000,0.69
2313,華通,544000,0.69
2885,元大金,2277000,0.65
3163,波若威,98000,0.65
6274,台  燿,112000,0.61
6285,啟  碁,481000,0.6
3293,鈊  象,133000,0.58
2891,中信金,1847000,0.56
5434,崇越,200000,0.48
6442,光  聖,38000,0.44
2881,富邦金,817000,0.41
1717,長興,907000,0.41
6715,嘉  基,140000,0.32
3023,信邦,190000,0.3
3374,精  材,271000,0.28
6683,雍智科技,24000,0.25
2385,群光,338000,0.24
8464,億  豐,117000,0.24
6121,新  普,76000,0.16
