股票代號,股票名稱,股數,權重
2330,台積電,1794000,8.3476
2454,聯發科,872000,6.7456
5536,聖暉*,3679000,6.5072
6139,亞翔,4025000,6.2894
6669,緯穎,510000,5.9203
2059,川湖,185000,4.2934
6223,旺矽,307000,3.9039
2383,台光電,327000,3.6101
2360,致茂,837000,3.5398
2345,智邦,817000,3.4867
3105,穩懋,4414000,3.4018
4958,臻鼎-KY,3178000,2.887
3491,昇達科,988000,2.5127
6531,愛普*,1440000,2.436
3017,奇鋐,407000,2.2819
3008,大立光,248000,2.1908
2303,聯電,9109000,2.1587
6488,環球晶,1134000,2.0385
3264,欣銓,4780000,1.9939
6257,矽格,4821000,1.9599
2377,微星,5678000,1.8488
3583,辛耘,1158000,1.6376
2467,志聖,1505000,1.6006
6274,台燿,450000,1.3872
8016,矽創,2270000,1.3624
3702,大聯大,5678000,1.3401
3711,日月光投控,1016000,1.2156
7769,鴻勁,93000,1.1611
2316,楠梓電,3471000,1.08
3036,文曄,2404000,1.0074
5274,信驊,29900,1.0006
1785,光洋科,4384000,0.8995
8996,高力,382000,0.8611
2327,國巨*,696000,0.8072
2351,順德,2316000,0.7675
6278,台表科,2310000,0.761
2472,立隆電,1533000,0.7384
3529,力旺,93000,0.4766
6831,邁科,300000,0.3918
6239,力成,710000,0.385
2376,技嘉,443000,0.3205
2451,創見,521000,0.2956
2885,元大金,2128420,0.2813
6187,萬潤,91000,0.2025
6446,藥華藥,42000,0.1165
3231,緯創,91000,0.0339
6177,達麗,194350,0.0178
3443,創意,1000,0.0098
2368,金像電,2000,0.0038
8046,南電,1000,0.0024
4441,振大環球,4000,0.0015
1519,華城,660,0.0009
8358,金居,1000,0.0008
3706,神達,1400,0.0002
2886,兆豐金,1000,0.0
2881,富邦金,250,0.0
