股票代號,股票名稱,股數,權重
GOOGL US,Alphabet 公司,4500,9.047
AVGO US,博通公司,3900,8.6266
MU US,美光科技公司,2500,8.2839
LITE US,魯門特姆控股公司,1600,8.2363
2330,台積電,22000,8.1062
NVDA US,輝達,7000,7.1193
GEV US,奇異維諾瓦公司,750,4.2515
AMZN US,AMAZON. COM INC,3000,4.2475
IFX GY,英飛凌科技股份有限公司,8000,2.9275
LRCX US,科林研發股份有限公司,2021,2.885
TER US,泰瑞達公司,1500,2.7724
ENR GY,Siemens Energy AG,2200,2.4293
CRWD US,Crowdstrike控股公司,938,2.3135
WMT UN,沃爾瑪公司,3400,2.3021
COHR US,連貫公司,1300,2.259
HWM US,Howmet航太公司,1700,2.1354
MSFT US,Microsoft Corp,1000,2.1292
ETN US,伊頓公開有限公司,1000,2.1265
6501 JT,日立製作所有限公司,12000,1.8941
8306 JT,三菱UFJ金融集團公司,20000,1.8421
SU FP,施奈德電機公司,1100,1.8161
CAT US,Caterpillar Inc,350,1.6387
GLEN LN,嘉能可公司,40000,1.5683
NET US,Cloudflare公司,1200,1.5182
BWXT US,BWX科技股份有限公司,1100,1.1737
VRTX US,福泰製藥公司,450,0.9884
GS US,高盛集團,200,0.9512
