股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,484000,6.81
2308,台達電子工業,340000,4.91
2357,華碩電腦,739000,3.69
2383,台光電子材料,95000,2.88
1477,聚陽實業,1951000,2.59
2382,廣達電腦,1157000,2.57
2360,致茂電子,165000,2.54
2618,長榮航空,10641000,2.4
2317,鴻海精密工業,1342000,2.35
2385,群光電子,2740000,2.32
7769,鴻勁精密,49000,2.2
2408,南亞科技,928000,2.11
3017,奇鋐科技,126000,2.1
2345,智邦科技,139000,2.08
1319,東陽實業廠,3658000,1.91
5274,信驊科技,17000,1.88
2368,金像電子（股）公司,235000,1.86
6669,緯穎科技服務,56000,1.84
3592,瑞鼎科技,1067000,1.82
2344,華邦電子,1794000,1.8
3526,凡甲科技,787000,1.71
8210,勤誠興業,196000,1.64
6121,新普科技,692000,1.64
2548,華固建設,2157000,1.58
4915,致伸科技,3402000,1.54
3665,貿聯控股（BizLink Holding In,116000,1.47
2393,億光電子工業,3656000,1.41
6274,台燿科技,137000,1.4
2059,川湖科技,44000,1.37
6223,旺矽科技,40000,1.36
8299,群聯電子,82000,1.36
3711,日月光投資控股,371000,1.33
2731,雄獅旅行社,1274000,1.29
9910,豐泰企業,3009000,1.29
3090,日電貿,920000,1.28
6515,穎崴科技,24000,1.25
8454,富邦媒體科技,816000,1.18
6805,富世達,91000,1.15
6670,復盛應用科技,639000,1.04
9941,裕融企業,2253000,0.99
5534,長虹建設,2120000,0.95
2727,王品餐飲,663000,0.93
3653,健策精密工業,40000,0.92
2454,聯發科技,34000,0.92
9938,台灣百和工業,3499000,0.92
8112,至上電子,1630000,0.89
9802,鈺齊國際,1914000,0.89
2347,聯強國際,1709000,0.88
2204,中華汽車工業,2707000,0.87
4105,台灣東洋藥品工業,1796000,0.79
3045,台灣大哥大,1145000,0.78
6768,志強國際企業,1507000,0.78
9907,統一實業,7948000,0.77
4746,台耀化學,2282000,0.73
4904,遠傳電信,1226000,0.71
3227,原相科技,471000,0.66
9939,宏全國際,647000,0.48
6146,耕興,294000,0.4
9958,世紀鋼鐵結構,626000,0.39
1215,台灣卜蜂企業,522000,0.38
6782,視陽光學,243000,0.28
