股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,484000,7.09
2308,台達電子工業,332000,4.66
2357,華碩電腦,721000,3.59
2383,台光電子材料,93000,2.85
2382,廣達電腦,1129000,2.66
2618,長榮航空,10383000,2.55
2385,群光電子,2740000,2.45
2360,致茂電子,161000,2.34
1319,東陽實業廠,3570000,2.25
2317,鴻海精密工業,1310000,2.16
2408,南亞科技,906000,2.15
7769,鴻勁精密,47000,2.15
1477,聚陽實業,1498000,2.13
2345,智邦科技,136000,2.01
2368,金像電子（股）公司,229000,1.92
2059,川湖科技,43000,1.88
5274,信驊科技,16000,1.87
8454,富邦媒體科技,816000,1.84
3017,奇鋐科技,119000,1.81
8210,勤誠興業,191000,1.79
2344,華邦電子,1622000,1.77
3592,瑞鼎科技,1015000,1.75
9910,豐泰企業,3009000,1.75
3665,貿聯控股（BizLink Holding In,116000,1.7
6669,緯穎科技服務,55000,1.69
6121,新普科技,638000,1.66
4915,致伸科技,3320000,1.61
6223,旺矽科技,39000,1.6
2393,億光電子工業,3477000,1.56
3090,日電貿,920000,1.49
6515,穎崴科技,23000,1.4
3711,日月光投資控股,362000,1.35
8299,群聯電子,80000,1.17
9941,裕融企業,2133000,1.14
3526,凡甲科技,557000,1.14
6670,復盛應用科技,624000,1.13
6274,台燿科技,122000,1.11
5534,長虹建設,2069000,1.09
6805,富世達,89000,1.03
2727,王品餐飲,647000,1.01
8112,至上電子,1591000,1.0
9938,台灣百和工業,3414000,0.98
2204,中華汽車工業,2641000,0.95
2347,聯強國際,1668000,0.94
3653,健策精密工業,40000,0.94
2454,聯發科技,34000,0.9
2548,華固建設,1336000,0.9
3045,台灣大哥大,1117000,0.85
4904,遠傳電信,1226000,0.85
6768,志強國際企業,1471000,0.85
9907,統一實業,7756000,0.82
2731,雄獅旅行社,784000,0.76
4746,台耀化學,2227000,0.73
9802,鈺齊國際,1285000,0.65
3227,原相科技,460000,0.63
4105,台灣東洋藥品工業,1204000,0.57
9939,宏全國際,647000,0.55
9958,世紀鋼鐵結構,626000,0.45
6146,耕興,294000,0.37
6782,視陽光學,243000,0.3
1215,台灣卜蜂企業,240000,0.18
