股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,484000,6.85
2308,台達電子工業,332000,4.93
2357,華碩電腦,721000,3.77
2383,台光電子材料,93000,2.89
2382,廣達電腦,1129000,2.6
1477,聚陽實業,1763000,2.45
2360,致茂電子,161000,2.36
2618,長榮航空,10383000,2.36
2385,群光電子,2740000,2.35
1319,東陽實業廠,3570000,2.3
2317,鴻海精密工業,1310000,2.23
8454,富邦媒體科技,816000,2.14
2368,金像電子（股）公司,229000,2.1
2345,智邦科技,136000,2.07
7769,鴻勁精密,48000,2.05
2408,南亞科技,906000,2.02
3017,奇鋐科技,123000,1.92
5274,信驊科技,17000,1.86
2059,川湖科技,43000,1.8
6669,緯穎科技服務,55000,1.79
8210,勤誠興業,191000,1.77
6121,新普科技,658000,1.68
3592,瑞鼎科技,1015000,1.65
9910,豐泰企業,3009000,1.6
4915,致伸科技,3320000,1.57
2344,華邦電子,1622000,1.56
3665,貿聯控股（BizLink Holding In,116000,1.54
2393,億光電子工業,3477000,1.47
6223,旺矽科技,39000,1.41
3526,凡甲科技,657000,1.39
3090,日電貿,920000,1.3
3711,日月光投資控股,362000,1.27
6515,穎崴科技,23000,1.22
6274,台燿科技,122000,1.21
8299,群聯電子,80000,1.16
9941,裕融企業,2199000,1.14
6805,富世達,89000,1.07
6670,復盛應用科技,624000,1.07
5534,長虹建設,2069000,0.99
2727,王品餐飲,647000,0.98
2548,華固建設,1571000,0.98
3653,健策精密工業,40000,0.97
9938,台灣百和工業,3414000,0.96
2454,聯發科技,34000,0.93
2347,聯強國際,1668000,0.93
2204,中華汽車工業,2641000,0.9
2731,雄獅旅行社,924000,0.89
8112,至上電子,1591000,0.89
6768,志強國際企業,1471000,0.87
3045,台灣大哥大,1117000,0.8
4904,遠傳電信,1226000,0.79
9907,統一實業,7756000,0.79
9802,鈺齊國際,1510000,0.75
4746,台耀化學,2227000,0.72
4105,台灣東洋藥品工業,1419000,0.65
3227,原相科技,460000,0.62
9939,宏全國際,647000,0.5
9958,世紀鋼鐵結構,626000,0.44
6146,耕興,294000,0.4
6782,視陽光學,243000,0.29
1215,台灣卜蜂企業,350000,0.25
